user_address,status,amount
0xc748e67a84741b581c558111b6c379f45737da0c,Claimed,399999.97
0x10e52e5f2051fde001b05f96022bef7b4e46f727,Claimed,236191.34
0x8c6cca499d53fa3a9e062165cc26c8699fe3c9a6,Claimed,236191.34
0x9adfb11af29666298771fbb307123be7825ac403,Claimed,235191.34
0xedb106c9e5f429a296a94c56bcd797511836c350,Claimed,235191.34
0x3f9cb04c52dd73970d324f2383114724480d479d,Claimed,235127.89
0x4e9cdd3b8cf1e952a0e17f50c67f68e480788904,Claimed,235127.89
0xc77133169c5d3f6f8e73a4116eb60304aac65c15,Claimed,234127.89
0x4124e726e6d4c7c0685c6a5e8cb263cb8b1b1505,Claimed,172128.48
0x9d88fe890fc781f692c256d6229ab37a35d54cc9,Claimed,143731.81
0x70b6bd8fd04cac4ff5816fb2fa27f15b5209ffb6,Claimed,140001.45
0x38bf7ab12658f3a514809faf80b1e9fc7ca7ac87,Claimed,114269.16
0x377279bf225152af567fb416b57ed505dd618636,Claimed,103242.91
0x82027d5076bb0725724f4ad3c12c6b43bb39c2f1,Claimed,93389.4
0x2f85519624cfd2f7f91f02b63d4abf4b9efa6734,Claimed,93220.87
0xd2aa404d6b704dabc06565e4f33e89a31f634ad7,Claimed,88486.61
0x8a705efabf831a81bcd859b5c1f1fb8cd2fda2a0,Claimed,81589.12
0xb2b06c9dd222171898285ca2bca299c5527b9a95,Claimed,79351.33
0x76f0faaa35a0cc89d9194e499a6c8d09bd1ccfa8,Claimed,74218.31
0x181089ac570054ec939ebefde537e0bae002de43,Claimed,71492.82
0xd5739486c28d034cbb5dd4281ddddc7014d5315d,Claimed,70805.42
0x54f6ff8fad0ab1a8afcb4697b796763bfe39196b,Claimed,68299.32
0xf484b4d5b3105c6fda826dc605313cad17fb6c16,Claimed,62019.07
0x14bb219b6d1a38e115752500b8ec54aa6506fbbd,Claimed,60741.67
0xd23fba03452557e141aac7b40f8c2d6438746163,Claimed,60268.27
0xed007a4535457079fd886ab3f34d8bf508bc100b,Claimed,60000
0x9abf21ad5adbb786b0f360c2b4e973ff1f0be223,Claimed,59163.18
0xc8c487bbf982acbf499756122d68e59a2c7d00af,Claimed,54100.4
0x0a5fd68be1c0e5970daad35cc930a273d4683047,Claimed,54033.29
0x43a8ddfd4d1f7a20e8243c8e0deb3aded511107d,Claimed,51052.29
0x2ae18e48e44452199a0ea5c4389713a799219166,Claimed,49267.06
0x5cde0ccb7e21ac91dcd4eb4b73fc0ac32612b453,Claimed,46077.81
0x3e5281e4df187cc764d63cc5dc257a064b298504,Claimed,44959.86
0xe34acc68c63d2fe769fd7a248fb6bb61ed9e5f89,Claimed,44569.61
0x24c7418fc52b5c7ea532c8bc2ab282badb1b36ec,Claimed,43929.65
0x85d9c5509afa2b6bf84862240948f4d7aba9a2e6,Claimed,43893.36
0x1245780563149ddeab2fdb15c1ffc28e210b5680,Claimed,43123.78
0x8f4d466606f280c7402153f1f0101928c1819dac,Claimed,39798.31
0x63bb0529e616fb58ba5893dcf93b1b6429d387aa,Claimed,39518.45
0x0f8b19f95512ba469348ce0f9283e89424e2a9de,Claimed,37334.03
0x2fe53ba0632d9fd38d575d1e9701634007864c0c,Claimed,33479.59
0xf715ae46dc41f2686d0d7c5a5c782150ea299b3d,Claimed,33385.97
0x51aef8792efc68da8b80529636720235b2377271,Claimed,31697.49
0x6cb54c6053be264c828ebd51c09b6dcb40a9efcd,Claimed,30161.29
0x61cfeb14f185c911464183153bdf59f9071a1b5b,Claimed,29975.24
0x17150027ed7c68cdc24c6e2515fee911b4f77c34,Claimed,29274.69
0x7ac45574050d5cbb9b15198f84de223ae2e905a8,Claimed,29228.76
